UNIT_ID,UNIT_NAME,Latitude,Longitude,,,,,,,,,,,,,
KRN,KRN Station  14 FS,35.335979,-118.752366,,,,,,,,,,,,,
KRR,Kern River Ranger District,35.500000,-118.500000,,,,,,,,,,,,,
LAC,FS 78,34.095138,-118.167305,,,,,,,,,,,,,
LAD,Los Angeles District,34.052200,-118.243700,,,,,,,,,,,,,
LDF,Lassen District Forest,40.500000,-120.500000,,,,,,,,,,,,,
LFD,Long Beach Fire Department,33.770100,-118.193700,,,,,,,,,,,,,
LKR,Lake Region,39.000000,-122.500000,,,,,,,,,,,,,
LMU,Dyer Mountain COM/LO,40.815118,-120.837103,,,,,,,,,,,,,
LNF,Lassen National Forest,40.500000,-121.500000,,,,,,,,,,,,,
LNP,Lassen National Park,40.488700,-121.504700,,,,,,,,,,,,,
LNU,Loch Lomond FS 64,38.624495,-122.610381,,,,,,,,,,,,,
LPF,Sisar,34.499322,-119.141365,,,,,,,,,,,,,
LUR,Lurline Fire Protection District,39.500000,-122.000000,,,,,,,,,,,,,
MCP,McClellan Park Fire Department,38.667000,-121.400000,,,,,,,,,,,,,
MCR,Mendocino Coast Region,39.500000,-123.500000,,,,,,,,,,,,,
MDF,Modoc National Forest,41.500000,-120.500000,,,,,,,,,,,,,
MDR,Madera City Station 56,36.966572,-120.078642,,,,,,,,,,,,,
MEU,Mendocino UH,39.387371,-123.429555,,,,,,,,,,,,,
MMU,Ahwahnee FS,37.393606,-120.105319,,,,,,,,,,,,,
MNF,Mendocino National Forest,39.500000,-122.500000,,,,,,,,,,,,,
MNP,Mojave National Preserve,35.000000,-115.500000,,,,,,,,,,,,,
MRN,Tomales FS,38.013076,-122.664047,,,,,,,,,,,,,
MVU,Monte Vista Unit,32.800000,-116.900000,,,,,,,,,,,,,
NEU,Dry Creek FS,39.128658,-120.967335,,,,,,,,,,,,,
NOD,Northern District,40.000000,-120.000000,,,,,,,,,,,,,
ORC,Loma Ridge,33.697478,-117.786287,,,,,,,,,,,,,
PIP,Pine Island Park,34.000000,-117.000000,,,,,,,,,,,,,
PLR,Palomar Ranger District,33.300000,-116.900000,,,,,,,,,,,,,
PNF,Plumas National Forest,39.900000,-121.000000,,,,,,,,,,,,,
RNP,Redwood National Park,41.300000,-124.000000,,,,,,,,,,,,,
RRS,Russian River Station,38.500000,-123.000000,,,,,,,,,,,,,
RRU,CAL FIRE Training Center South,33.758207,-116.921143,,,,,,,,,,,,,
RWP,Redwood Park,37.800000,-122.200000,,,,,,,,,,,,,
SBC,SBC Santa Barbara County 31 FS,34.618140,-120.101583,,,,,,,,,,,,,
SCU,SSCCFD - Masten Fire Station 2,37.297078,-121.674009,,,,,,,,,,,,,
SDU,San Diego County Fire Jucumba Station #43,32.970779,-116.770712,,,,,,,,,,,,,
SHF,Shasta-Trinity National Forest,40.500000,-122.000000,,,,,,,,,,,,,
SHU,Shingletown FS,40.679441,-122.182865,,,,,,,,,,,,,
SIF,Sierra Foothills Region,37.000000,-120.000000,,,,,,,,,,,,,
SJR,San Joaquin Region,37.900000,-121.300000,,,,,,,,,,,,,
SKR,South Kern Region,35.000000,-118.000000,,,,,,,,,,,,,
SKU,McCloud FS,41.650551,-122.502172,,,,,,,,,,,,,
SLU,San Luis Obispo UH,35.394213,-120.629766,,,,,,,,,,,,,
SMP,San Mateo Park,37.500000,-122.300000,,,,,,,,,,,,,
SNF,Sierra National Forest,37.417000,-119.167000,,,,,,,,,,,,,
SNU,Sierra Nevada Unit,39.000000,-120.000000,,,,,,,,,,,,,
SOR,Southern Oregon Region,42.800000,-122.900000,,,,,,,,,,,,,
SPR,South Pacific Region,-30.098000,-143.060900,,,,,,,,,,,,,
SQF,Sequoia National Forest,36.040000,-118.504400,,,,,,,,,,,,,
SRF,Six Rivers National Forest,41.777800,-124.016700,,,,,,,,,,,,,
SRR,Sierra Ridge Region,39.543800,-120.805200,,,,,,,,,,,,,
STF,Stanislaus National Forest,38.250000,-120.000000,,,,,,,,,,,,,
STR,Sierra Trail Region,38.500000,-119.500000,,,,,,,,,,,,,
SWR,Southwestern Region,34.000000,-106.000000,,,,,,,,,,,,,
TCU,Jamestown,38.069525,-120.475004,,,,,,,,,,,,,
TGU,Vina Helitack,40.100962,-122.311639,,,,,,,,,,,,,
TIA,Tule River Indian Agency,36.050000,-118.900000,,,,,,,,,,,,,
TKR,Tehama-Kern Region,40.125700,-122.233900,,,,,,,,,,,,,
TMU,Trinity Mountain Unit,40.826100,-122.666100,,,,,,,,,,,,,
TNF,Tahoe National Forest,39.562500,-120.562500,,,,,,,,,,,,,
TNR,Trinity National Region,41.000400,-123.048400,,,,,,,,,,,,,
TNT,Trinity National Territory,41.000400,-123.048400,,,,,,,,,,,,,
TOI,Tulare-Owens Indian Agency,36.050000,-118.900000,,,,,,,,,,,,,
TUU,Badger FS,36.241454,-118.919319,,,,,,,,,,,,,
VLJ,Vallejo,38.104100,-122.256600,,,,,,,,,,,,,
VNC,CSUCI Public Safety Unit,34.271085,-118.993969,,,,,,,,,,,,,
WED,Weed,41.423300,-122.386400,,,,,,,,,,,,,
YNP,Yosemite National Park,37.865100,-119.538300,,,,,,,,,,,,,
